GEO_ID,NAME,POP
1600000US0139856,"Kimberly city, Alabama",4327
1600000US0140072,"Kinsey town, Alabama",2175
1600000US0140096,"Kinston town, Alabama",760
1600000US0140648,"Ladonia CDP, Alabama",3987
1600000US0140672,"La Fayette city, Alabama",2665
1600000US0140888,"Lakeview town, Alabama",100
1600000US0140928,"Lake View town, Alabama",4238
1600000US0141296,"Lanett city, Alabama",6854
1600000US0141368,"Langston town, Alabama",261
1600000US0141968,"Leeds city, Alabama",12221
1600000US0142016,"Leesburg town, Alabama",813
1600000US0142160,"Leighton town, Alabama",711
1600000US0142304,"Leroy CDP, Alabama",1016
1600000US0142352,"Lester town, Alabama",130
1600000US0142472,"Level Plains town, Alabama",1608
1600000US0142640,"Lexington town, Alabama",665
1600000US0142808,"Libertyville town, Alabama",122
1600000US0142928,"Lillian CDP, Alabama",1889
1600000US0143120,"Lincoln city, Alabama",7135
1600000US0143240,"Linden city, Alabama",1879
1600000US0143264,"Lineville city, Alabama",2636
1600000US0143336,"Lipscomb city, Alabama",2407
1600000US0143384,"Lisman town, Alabama",490
1600000US0143648,"Littleville town, Alabama",866
1600000US0143720,"Livingston city, Alabama",3243
1600000US0143744,"Loachapoka town, Alabama",218
1600000US0143816,"Lockhart town, Alabama",297
1600000US0143888,"Locust Fork town, Alabama",1312
1600000US0144160,"Lookout Mountain CDP, Alabama",1074
1600000US0144344,"Louisville town, Alabama",625
1600000US0144536,"Lowndesboro town, Alabama",108
1600000US0144608,"Loxley town, Alabama",4029
1600000US0144728,"Luverne city, Alabama",2713
1600000US0144800,"Lynn town, Alabama",821
1600000US0145040,"McCalla CDP, Alabama",13939
1600000US0145208,"McDonald Chapel CDP, Alabama",704
1600000US0145316,"Macedonia CDP, Alabama",342
1600000US0145472,"McIntosh town, Alabama",198
1600000US0145496,"McKenzie town, Alabama",731
1600000US0145640,"McMullen town, Alabama",20
1600000US0145784,"Madison city, Alabama",58335
1600000US0145904,"Madrid town, Alabama",253
1600000US0146072,"Magnolia Springs town, Alabama",1278
1600000US0146192,"Malcolm CDP, Alabama",305
1600000US0146264,"Malvern town, Alabama",1836
1600000US0146504,"Maplesville town, Alabama",813
1600000US0146600,"Marbury CDP, Alabama",1609
1600000US0146696,"Margaret town, Alabama",5538
1600000US0146768,"Marion city, Alabama",2994
1600000US0147728,"Maytown town, Alabama",263
1600000US0147740,"Meadowbrook CDP, Alabama",8939
