ORIG_FID,STATION_ID,LONGNAME,LINES,ADA,PKNRD,GEOID20,ALAND20,POP20,NEAR_FID
,,,,,,170311408004003,9478,63,63
,,,,,,170310817001006,5329,28,11
,,,,,,170312214001007,5262,57,8
,,,,,,170318391001070,17491,0,59
,,,,,,170310810004001,4843,42,127
,,,,,,170313108002003,7883,75,78
,,,,,,170310307011000,11787,491,131
,,,,,,170318161001003,16827,0,95
,,,,,,170310815001003,9959,574,90
,,,,,,170318417001015,5239,65,111
,,,,,,170312610002006,7681,66,93
,,,,,,170310818002010,4265,14,132
,,,,,,170310812012004,9940,641,89
,,,,,,170310105031000,18569,849,38
,,,,,,170318371002023,10153,23,103
,,,,,,170318423002016,8192,98,6
,,,,,,170318320001012,8256,166,124
,,,,,,170310810001000,8676,0,127
,,,,,,170318013002017,9393,44,128
,,,,,,170310815003012,4980,0,90
,,,,,,170312519002007,6737,58,102
,,,,,,170318391001016,16179,0,19
,,,,,,170318093002008,11346,42,39
,,,,,,170311608004009,20368,0,105
,,,,,,170311408001007,7447,104,63
,,,,,,170316809004004,25824,11,30
,,,,,,170313007001010,4164,20,81
,,,,,,170318431002012,7080,56,111
,,,,,,170318391002000,17392,0,60
,,,,,,170318391001014,8081,604,125
,,,,,,170310406002014,4850,60,12
,,,,,,170318321001002,5829,70,123
,,,,,,170318391001006,1558,0,125
,,,,,,170313109003008,10168,152,79
,,,,,,170318355002008,4731,9,25
,,,,,,170312435002027,2842,0,6
,,,,,,170318403003014,7650,59,108
,,,,,,170310610001009,12238,74,124
,,,,,,170317707001016,12128,0,137
,,,,,,170312222002004,10242,118,104
,,,,,,170312515004018,11212,0,102
,,,,,,170312827002006,10092,32,67
,,,,,,170318131001014,5193,80,68
,,,,,,170318073004011,9657,35,51
,,,,,,170318331001017,6891,19,113
,,,,,,170310711002009,7645,64,117
,,,,,,170310818002018,14836,0,132
,,,,,,170318447002004,1167,0,81
,,,,,,170313814001000,11631,82,32
,,,,,,170310105032008,11098,70,38
,,,,,,170318368001012,9584,47,122
,,,,,,170318419001009,9044,93,113
,,,,,,170318123012007,3271,0,138
,,,,,,170318447002015,11880,69,81
,,,,,,170312801002012,7389,14,4
,,,,,,170318319002003,12932,84,15
,,,,,,170318131001010,8758,0,68
,,,,,,170318402001020,15599,29,77
,,,,,,170318346001068,14282,0,141
,,,,,,170310106004012,9438,90,43
,,,,,,170313201021022,5327,0,19
,,,,,,170318358001004,12161,52,55
,,,,,,170318331001014,13581,446,65
,,,,,,170312925002009,7701,82,82
,,,,,,170318407001006,8262,102,110
,,,,,,170312519002009,6179,23,102
,,,,,,170310408002007,7042,64,92
,,,,,,170318391002001,17123,0,60
,,,,,,170311407021000,4918,57,63
,,,,,,170311407021004,5098,75,63
,,,,,,170318358001021,11499,37,32
,,,,,,170318073005023,6982,55,51
,,,,,,170310816002003,11690,190,89
,,,,,,170318088002042,19614,66,39
,,,,,,170318314001014,5252,0,69
,,,,,,170313301021002,11546,401,33
,,,,,,170310711002008,12534,189,117
,,,,,,170318160003012,19107,236,98
,,,,,,170310301023001,14496,254,47
,,,,,,170312414001000,5705,68,7
,,,,,,170316712001000,7102,0,31
,,,,,,170318326003003,12118,118,117
,,,,,,170312925002006,7674,87,82
,,,,,,170312925003024,7702,61,83
,,,,,,170318403003016,10137,42,108
,,,,,,170311407011006,8735,0,62
,,,,,,170318358001023,10365,67,32
,,,,,,170310818001024,4239,13,11
,,,,,,170310818001036,4272,187,132
,,,,,,170312514004007,13646,136,2
,,,,,,170310506002011,5928,88,14
,,,,,,170318095002002,7161,5,52
,,,,,,170318373002009,5129,27,97
,,,,,,170318370002002,10111,93,103
,,,,,,170310810004000,16426,1249,127
,,,,,,170310629002000,20173,328,49
,,,,,,170310103004009,10870,120,130
,,,,,,170318412002021,5396,10,80
,,,,,,170318160001029,9560,42,95
,,,,,,170312414001008,17844,258,7
,,,,,,170318330001037,1185,0,85
,,,,,,170311408005017,4834,37,13
,,,,,,170313806002010,21467,99,55
,,,,,,170310406001005,4057,27,16
,,,,,,170311402002010,5219,186,63
,,,,,,170312916001013,6605,98,110
,,,,,,170312924002012,6475,21,82
,,,,,,170310615001014,7567,58,134
,,,,,,170310106004001,1957,0,43
,,,,,,170310103002012,10068,171,130
,,,,,,170311408003007,6956,31,13
,,,,,,170312222002001,7274,83,104
,,,,,,170310815001001,9975,416,89
,,,,,,170318307003004,12124,75,116
,,,,,,170311407011000,10296,38,63
,,,,,,170310106002007,2885,17,43
,,,,,,170318100002011,15849,166,129
,,,,,,170318093002001,7494,112,39
,,,,,,170318413002000,12583,17,80
,,,,,,170318073005027,7644,46,51
,,,,,,170318423002035,5379,75,5
,,,,,,170318100002012,16238,262,129
,,,,,,170311407012005,7625,130,62
,,,,,,170310815002012,4976,0,90
,,,,,,170312215001017,6610,87,104
,,,,,,170311408005014,5909,39,13
,,,,,,170310625001006,9920,108,15
,,,,,,170311610001013,27278,49,57
,,,,,,170312515002015,7335,33,102
,,,,,,170316904004011,13566,73,72
,,,,,,170318160001031,10001,65,95
,,,,,,170318391001018,17231,0,125
,,,,,,170318424002004,20413,149,24
,,,,,,170312925003014,11759,92,83
,,,,,,170318330001010,12420,23,85
,,,,,,170318093001018,16480,109,39
,,,,,,170310818001022,5433,11,11
,,,,,,170312518002006,7434,81,102
,,,,,,170313806002011,4340,58,55
,,,,,,170318138022001,19423,114,112
,,,,,,170313109003007,10359,184,79
,,,,,,170318123012012,7400,0,138
,,,,,,170310711001002,5744,44,50
,,,,,,170313206002001,3137,0,21
,,,,,,170318093003021,6835,0,121
,,,,,,170310629001009,5160,51,49
,,,,,,170312607002011,10331,38,93
,,,,,,170313302002031,10628,202,87
,,,,,,170318356002017,15217,70,142
,,,,,,170318308002004,37420,130,16
,,,,,,170310717002001,6126,96,91
,,,,,,170316903001009,13293,57,72
,,,,,,170313206002013,7977,529,21
,,,,,,170312602001016,4623,31,119
,,,,,,170313206002007,5284,0,21
,,,,,,170310630001009,5844,86,36
,,,,,,170312517001042,2972,0,58
,,,,,,170318330002041,7704,8,3
,,,,,,170310817002036,17716,511,132
,,,,,,170318131001007,4692,11,68
,,,,,,170318137022003,5817,111,84
,,,,,,170312819001007,17280,27,114
