GEOID8,NEAR_DIST,POPDENS,GEOID8,CHITRACT
17031381200,26999.06511,3100.803223,17031381200,1
17031381400,27120.41945,2189.061279,17031381400,1
17031381700,27822.61265,35.3045197,17031381700,1
17031440300,50401.2686,1393.956909,17031440300,1
17031804706,144532.111,583.6973877,17031804706,
17031804710,141046.2954,751.6433105,17031804710,
17031810800,55748.69714,1998.207764,17031810800,
17031810900,51255.72656,2303.655762,17031810900,
17031811000,53732.01495,1046.020508,17031811000,
17031612000,31374.46387,1714.971314,17031612000,1
17031612100,31091.01408,1381.456543,17031612100,1
17031620100,39262.63715,2104.701172,17031620100,1
17031620200,41926.92424,1598.689941,17031620200,1
17031620300,43808.6921,2493.753662,17031620300,1
17031620400,41707.87091,2956.689453,17031620400,1
17031810501,61081.76697,898.9754639,17031810501,
17031810502,57254.92183,1152.273438,17031810502,
17031812200,46292.41141,1037.262085,17031812200,
17031818200,67752.9424,918.6705322,17031818200,
17031818402,72806.27088,994.3432617,17031818402,
17031818800,64939.02711,1206.167236,17031818800,
17031818900,68122.85568,1170.291748,17031818900,
17031826402,93063.00365,901.7702026,17031826402,
17031826600,89487.53913,1172.717041,17031826600,
17031826700,89544.73308,1583.68457,17031826700,
17031826901,95586.65592,430.4916992,17031826901,
17031826902,97812.28773,687.4682617,17031826902,
17031730700,65450.10316,891.0571289,17031730700,1
17031740100,70005.8861,1400.518311,17031740100,1
17031740200,68615.93335,1146.467285,17031740200,1
17031740300,71756.79782,1423.028809,17031740300,1
17031740400,75216.41456,638.3920898,17031740400,1
17031803005,134662.0147,330.7566833,17031803005,
17031803007,130322.0693,774.7713013,17031803007,
17031381800,28496.27974,1767.027344,17031381800,1
17031381900,28648.3391,2472.152344,17031381900,1
17031390100,26768.17398,1241.751465,17031390100,1
17031390200,26236.89114,2392.559326,17031390200,1
17031390300,25833.31107,3088.698731,17031390300,1
17031390400,28419.71362,3396.217041,17031390400,1
17031390500,28728.69182,1969.490234,17031390500,1
17031390600,29098.55858,2370.965088,17031390600,1
17031390700,30134.00967,4144.070801,17031390700,
